"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.1.1","239.255.255.250","SSDP","441","NOTIFY * HTTP/1.1 "
"2","0.001059613","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"3","0.003281192","192.168.1.1","239.255.255.250","SSDP","441","NOTIFY * HTTP/1.1 "
"5","0.306840008","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"6","0.613311554","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"9","1.842601831","192.168.1.47","224.0.0.251","MDNS","152","Standard query 0x0001 PTR _37F83649._sub._googlecast._tcp.local, ""QU"" question PTR _%9E5E7C8F47989526C9BCD95D24084F6F0B27C5ED._sub._googlecast._tcp.local, ""QU"" question PTR _googlecast._tcp.local, ""QU"" question"
"10","1.843592823","192.168.1.47","224.0.0.251","MDNS","152","Standard query 0x0001 PTR _37F83649._sub._googlecast._tcp.local, ""QU"" question PTR _%9E5E7C8F47989526C9BCD95D24084F6F0B27C5ED._sub._googlecast._tcp.local, ""QU"" question PTR _googlecast._tcp.local, ""QU"" question"
"11","2.456255357","192.168.1.49","224.0.0.251","MDNS","103","Standard query 0x0008 PTR _233637DE._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"12","2.764652849","192.168.1.34","224.0.0.251","MDNS","405","Standard query response 0x0000 PTR Google-Home-Mini-c9aba702a5ab3451e9503068da1d4368._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 c9aba702-a5ab-3451-e950-3068da1d4368.local A, cache flush 192.168.1.34"
"13","2.915263006","192.168.1.47","224.0.0.251","MDNS","152","Standard query 0x0002 PTR _37F83649._sub._googlecast._tcp.local, ""QM"" question PTR _%9E5E7C8F47989526C9BCD95D24084F6F0B27C5ED._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"14","2.918872674","192.168.1.34","224.0.0.251","MDNS","420","Standard query response 0x0000 PTR Google-Home-Mini-c9aba702a5ab3451e9503068da1d4368._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 c9aba702-a5ab-3451-e950-3068da1d4368.local A, cache flush 192.168.1.34"
"15","2.920966223","192.168.1.34","224.0.0.251","MDNS","405","Standard query response 0x0000 PTR Google-Home-Mini-c9aba702a5ab3451e9503068da1d4368._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 c9aba702-a5ab-3451-e950-3068da1d4368.local A, cache flush 192.168.1.34"
"18","3.992443258","192.168.1.47","224.0.0.251","MDNS","152","Standard query 0x0003 PTR _37F83649._sub._googlecast._tcp.local, ""QM"" question PTR _%9E5E7C8F47989526C9BCD95D24084F6F0B27C5ED._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"19","4.300724904","192.168.1.34","224.0.0.251","MDNS","420","Standard query response 0x0000 PTR Google-Home-Mini-c9aba702a5ab3451e9503068da1d4368._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 c9aba702-a5ab-3451-e950-3068da1d4368.local A, cache flush 192.168.1.34"
"20","4.302725959","192.168.1.34","224.0.0.251","MDNS","405","Standard query response 0x0000 PTR Google-Home-Mini-c9aba702a5ab3451e9503068da1d4368._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 c9aba702-a5ab-3451-e950-3068da1d4368.local A, cache flush 192.168.1.34"
"28","9.776401854","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"30","10.066148901","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"31","10.366031793","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"41","19.046068476","192.168.1.1","239.255.255.250","SSDP","367","NOTIFY * HTTP/1.1 "
"42","19.353265667","192.168.1.1","239.255.255.250","SSDP","367","NOTIFY * HTTP/1.1 "
"43","19.355169093","192.168.1.1","239.255.255.250","SSDP","376","NOTIFY * HTTP/1.1 "
"44","19.660455323","192.168.1.1","239.255.255.250","SSDP","376","NOTIFY * HTTP/1.1 "
"45","19.662605113","192.168.1.1","239.255.255.250","SSDP","431","NOTIFY * HTTP/1.1 "
"46","19.664763985","192.168.1.1","239.255.255.250","SSDP","431","NOTIFY * HTTP/1.1 "
"47","19.967965869","192.168.1.1","239.255.255.250","SSDP","441","NOTIFY * HTTP/1.1 "
"48","19.969035644","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"49","19.971264783","192.168.1.1","239.255.255.250","SSDP","441","NOTIFY * HTTP/1.1 "
